Región,Provincia,Cantón
SIERRA,AZUAY,CUENCA
SIERRA,AZUAY,GIRÓN
SIERRA,AZUAY,GUALACEO
SIERRA,AZUAY,NABÓN
SIERRA,AZUAY,PAUTE
SIERRA,AZUAY,PUCARA
SIERRA,AZUAY,SAN FERNANDO
SIERRA,AZUAY,SANTA ISABEL
SIERRA,AZUAY,SIGSIG
SIERRA,AZUAY,OÑA
SIERRA,AZUAY,CHORDELEG
SIERRA,AZUAY,EL PAN
SIERRA,AZUAY,SEVILLA DE ORO
SIERRA,AZUAY,GUACHAPALA
SIERRA,AZUAY,CAMILO PONCE ENRÍQUEZ
SIERRA,BOLIVAR,GUARANDA
SIERRA,BOLIVAR,CHILLANES
SIERRA,BOLIVAR,CHIMBO
SIERRA,BOLIVAR,ECHEANDÍA
SIERRA,BOLIVAR,SAN MIGUEL
SIERRA,BOLIVAR,CALUMA
SIERRA,BOLIVAR,LAS NAVES
SIERRA,CAÑAR,AZOGUES
SIERRA,CAÑAR,BIBLIÁN
SIERRA,CAÑAR,CAÑAR
SIERRA,CAÑAR,LA TRONCAL
SIERRA,CAÑAR,EL TAMBO
SIERRA,CAÑAR,DÉLEG
SIERRA,CAÑAR,SUSCAL
SIERRA,CARCHI,TULCÁN
SIERRA,CARCHI,BOLÍVAR
SIERRA,CARCHI,ESPEJO
SIERRA,CARCHI,MIRA
SIERRA,CARCHI,MONTÚFAR
SIERRA,CARCHI,SAN PEDRO DE HUACA
SIERRA,COTOPAXI,LATACUNGA
SIERRA,COTOPAXI,LA MANÁ
SIERRA,COTOPAXI,PANGUA
SIERRA,COTOPAXI,PUJILI
SIERRA,COTOPAXI,SALCEDO
SIERRA,COTOPAXI,SAQUISILÍ
SIERRA,COTOPAXI,SIGCHOS
SIERRA,CHIMBORAZO,RIOBAMBA
SIERRA,CHIMBORAZO,ALAUSI
SIERRA,CHIMBORAZO,COLTA
SIERRA,CHIMBORAZO,CHAMBO
SIERRA,CHIMBORAZO,CHUNCHI
SIERRA,CHIMBORAZO,GUAMOTE
SIERRA,CHIMBORAZO,GUANO
SIERRA,CHIMBORAZO,PALLATANGA
SIERRA,CHIMBORAZO,PENIPE
SIERRA,CHIMBORAZO,CUMANDÁ
COSTA,EL ORO,MACHALA
COSTA,EL ORO,ARENILLAS
COSTA,EL ORO,ATAHUALPA
COSTA,EL ORO,BALSAS
COSTA,EL ORO,CHILLA
COSTA,EL ORO,EL GUABO
COSTA,EL ORO,HUAQUILLAS
COSTA,EL ORO,MARCABELÍ
COSTA,EL ORO,PASAJE
COSTA,EL ORO,PIÑAS
COSTA,EL ORO,PORTOVELO
COSTA,EL ORO,SANTA ROSA
COSTA,EL ORO,ZARUMA
COSTA,EL ORO,LAS LAJAS
COSTA,ESMERALDAS,ESMERALDAS
COSTA,ESMERALDAS,ELOY ALFARO
COSTA,ESMERALDAS,MUISNE
COSTA,ESMERALDAS,QUININDÉ
COSTA,ESMERALDAS,SAN LORENZO
COSTA,ESMERALDAS,ATACAMES
COSTA,ESMERALDAS,RIOVERDE
COSTA,ESMERALDAS,LA CONCORDIA
COSTA,GUAYAS,GUAYAQUIL
COSTA,GUAYAS,ALFREDO BAQUERIZO MORENO (JUJÁN)
COSTA,GUAYAS,BALAO
COSTA,GUAYAS,BALZAR
COSTA,GUAYAS,COLIMES
COSTA,GUAYAS,DAULE
COSTA,GUAYAS,DURÁN
COSTA,GUAYAS,EL EMPALME
COSTA,GUAYAS,EL TRIUNFO
COSTA,GUAYAS,MILAGRO
COSTA,GUAYAS,NARANJAL
COSTA,GUAYAS,NARANJITO
COSTA,GUAYAS,PALESTINA
COSTA,GUAYAS,PEDRO CARBO
COSTA,GUAYAS,SAMBORONDÓN
COSTA,GUAYAS,SANTA LUCÍA
COSTA,GUAYAS,SALITRE (URBINA JADO)
COSTA,GUAYAS,SAN JACINTO DE YAGUACHI
COSTA,GUAYAS,PLAYAS
COSTA,GUAYAS,SIMÓN BOLÍVAR
COSTA,GUAYAS,CORONEL MARCELINO MARIDUEÑA
COSTA,GUAYAS,LOMAS DE SARGENTILLO
COSTA,GUAYAS,NOBOL
COSTA,GUAYAS,GENERAL ANTONIO ELIZALDE
COSTA,GUAYAS,ISIDRO AYORA
SIERRA,IMBABURA,IBARRA
SIERRA,IMBABURA,ANTONIO ANTE
SIERRA,IMBABURA,COTACACHI
SIERRA,IMBABURA,OTAVALO
SIERRA,IMBABURA,PIMAMPIRO
SIERRA,IMBABURA,SAN MIGUEL DE URCUQUÍ
SIERRA,LOJA,LOJA
SIERRA,LOJA,CALVAS
SIERRA,LOJA,CATAMAYO
SIERRA,LOJA,CELICA
SIERRA,LOJA,CHAGUARPAMBA
SIERRA,LOJA,ESPÍNDOLA
SIERRA,LOJA,GONZANAMÁ
SIERRA,LOJA,MACARÁ
SIERRA,LOJA,PALTAS
SIERRA,LOJA,PUYANGO
SIERRA,LOJA,SARAGURO
SIERRA,LOJA,SOZORANGA
SIERRA,LOJA,ZAPOTILLO
SIERRA,LOJA,PINDAL
SIERRA,LOJA,QUILANGA
SIERRA,LOJA,OLMEDO
COSTA,LOS RIOS,BABAHOYO
COSTA,LOS RIOS,BABA
COSTA,LOS RIOS,MONTALVO
COSTA,LOS RIOS,PUEBLOVIEJO
COSTA,LOS RIOS,QUEVEDO
COSTA,LOS RIOS,URDANETA
COSTA,LOS RIOS,VENTANAS
COSTA,LOS RIOS,VÍNCES
COSTA,LOS RIOS,PALENQUE
COSTA,LOS RIOS,BUENA FÉ
COSTA,LOS RIOS,VALENCIA
COSTA,LOS RIOS,MOCACHE
