"owner_id","title","location","price.guests","total_price.USD","cleaning_fee","service_fee","only_price","reviews","superhost","guests","bedrooms","beds","bathrooms","date","datetime","accuracy","communication","cleanliness","locationq","checkin","url"
31008582,"FINCA AGROECOLÓGICA HAPPY FRUIT","Arenillas","0",0,0,0,15,6,"0",5,5,3,3,"2019-07-15","2019-07-15 18:29:10","5",5,5,5,5,"https://www.airbnb.com/rooms/31008582?location=Arenillas&adults=1&source_impression_id=p3_1563233336_VW%2FsXejPWscfQufV"
33835983,"Habitacion en Departamento Compartido","Arenillas","0",0,0,0,11,0,"0",2,2,2,0,"2019-07-15","2019-07-15 18:29:21","",0,0,0,0,"https://www.airbnb.com/rooms/33835983?location=Arenillas&adults=1&source_impression_id=p3_1563233352_3edubptHJ0UvhKGV"
29500212,"1 Cama: Casa con Piscina y Campo cerca de ciudad.","Santa Rosa","0",0,0,0,15,0,"0",1,1,1,1,"2019-07-15","2019-07-15 18:29:35","",0,0,0,0,"https://www.airbnb.com/rooms/29500212?location=Arenillas&adults=1&source_impression_id=p3_1563233365_py09Hjp%2BNkNwScoX"
30006552,"2 Camas: Casa con Piscina y Campo cerca de ciudad.","Santa Rosa","0",0,0,0,14,1,"0",2,2,2,2,"2019-07-15","2019-07-15 18:29:51","",0,0,0,0,"https://www.airbnb.com/rooms/30006552?location=Arenillas&adults=1&source_impression_id=p3_1563233378_zDkyPCFnZOT2XKev"
8192248,"Casa de campo en un bosque de frutas","Torata","0",0,0,0,17,2,"0",10,10,6,3,"2019-07-15","2019-07-15 18:30:08","",0,0,0,0,"https://www.airbnb.com/rooms/8192248?location=Arenillas&adults=1&source_impression_id=p3_1563233395_GWc6hDbjhlx3tdJ%2B"
23627632,"Habitaciones cómodas y Privadas","Santa Rosa","0",0,0,0,23,0,"0",5,5,1,2,"2019-07-15","2019-07-15 18:30:22","",0,0,0,0,"https://www.airbnb.com/rooms/23627632?location=Arenillas&adults=1&source_impression_id=p3_1563233412_qi1Yki5mUgNCDS%2Bx"
119665,"DEPARTAMENTO PARA GRUPOS O PAREJAS","Cantón Huaquillas","0",0,0,0,25,0,"0",4,4,2,2,"2019-07-15","2019-07-15 18:30:39","",0,0,0,0,"https://www.airbnb.com/rooms/119665?location=Arenillas&adults=1&source_impression_id=p3_1563233425_eELkO7R65QUb%2FncS"
31946370,"VALLEJO HOTEL","Cantón Huaquillas","0",0,0,0,20,1,"0",16,16,41,26,"2019-07-15","2019-07-15 18:30:52","",0,0,0,0,"https://www.airbnb.com/rooms/31946370?location=Arenillas&adults=1&source_impression_id=p3_1563233442_CJajq547e%2FvSL%2B7U"
32743229,"Hotel Cómodo y seguro cerca de la frontera Ecuador","Zarumilla","0",0,0,0,18,1,"0",2,2,1,1,"2019-07-15","2019-07-15 18:31:06","",0,0,0,0,"https://www.airbnb.com/rooms/32743229?location=Arenillas&adults=1&source_impression_id=p3_1563233456_JJejexlIFDe4sAxi"
26035837,"Casa Estrella Santa Rosa","Santa Rosa","0",0,0,0,60,9,"0",7,7,3,3,"2019-07-15","2019-07-15 18:31:20","4.5",5,4,5,5,"https://www.airbnb.com/rooms/26035837?location=Arenillas&adults=1&source_impression_id=p3_1563233469_E9vjv%2FODtGa72JPd"
