provincia,población,superficie,hogaresInternet
Manabi,1537090,18939.6,24552
Santa Elena,384102,3690.17,5524
Esmeraldas,626626,16132.23,10503
Guayas,4267893,15430.4,133641
El Oro,698545,5766.68,19417
Los Rios,899632,7205.27,10082
Santo Domingo de los Tsachilas,44788,3446.65,8631
Carchi,184136,3780.45,2333
Imbabura,463957,4587.51,9738
Pichincha,3116111,9539.91,190920
Cotopaxi,476428,6108.23,5137
Bolivar,206771,3945.38,1932
Tungurahua,577551,3386.25,14061
Chimborazo,515417,6499.72,8394
Cañar,272236,3146.08,3848
Azuay,853070,8309.58,23274
Loja,511184,11062.73,11252
Sucumbios,220483,18084.42,2786
Orellana,157520,21692.1,2162
Pastaza,108365,29641.37,1779
Morona Santiago,188028,24059.4,1563
Zamora Chinchipe,115368,10584.28,1289
Napo,128252,12542.5,2117
Galapagos,31600,8010,1326
