,0,1,2,3,4,5,6,7,sentiment
0,1160185098916040704,carturoleon,Te faltó decir viajar 6 8 12 horas por tierra sin hospedaje a duras penas algo de comer y directo al partido(hablo de las categorías menores) ni el agua muchas de las veces después de los entrenamientos y con 3 balones para todo el equipo y hecho huevo.,2019-08-10 13:44:17+00:00,1,0,,Gualaquiza,0.8790951642436166
1,1143526470935109632,riverpeopleraft,Ven y disfruta de conocer la Amazonía con River People.3 días y 2 noches Todo Incluido. Selva + hospedaje en nuestro Lodge + rafting + comidas. US$195 por persona (IVA no Incluido) pic.twitter.com/WnwiyiD24M,2019-06-25 14:28:51+00:00,0,0,,Tena,0.15178969530054773
2,1159506853354758144,HeneciaEcuador,Buen día Henecias! Si alguien que viaja a Perú al concierto de KHJ y aún no dispone de hospedaje envíennos un inbox por favor ya que tenemos lugar en un departamento cercano al concierto!,2019-08-08 16:49:11+00:00,14,5,,El Chaco,0.7228866427448289
3,1159446378160017411,KattyMejia11,@Airbnb necesito asesoramiento para mecanismo de cobro por hospedaje temporal,2019-08-08 12:48:52+00:00,0,0,,El Chaco,0.5715983508328835
4,1159168036756230144,ABRELATAM,En estos últimos días los donantes que se han hecho cargo de financiar las becas le han enviado correos a las personas que han sido beneficiadas con beca de viaje y/o hospedaje. Les agradecemos a todos su interés y nos apena mucho no haber podido lograr becar mas gente.,2019-08-07 18:22:50+00:00,0,0,,El Chaco,0.8861348395551599
5,1159126530125107205,ARCSA_CZ9,#ArcsaTeInforma | Precautelamos la salud de los turistas mediante el control de establecimientos de servicio de hospedaje verificando que cuenten con adecuadas condiciones sanitarias para recibirlos durante el feriado. #Quito #ArcsaTeCuidapic.twitter.com/hXEBbb2Ds2,2019-08-07 15:37:54+00:00,10,16,#ArcsaTeInforma #Quito #ArcsaTeCuidapic,El Chaco,0.8505441996832199
6,1158532053840912385,Dianaraquel25ec,Vacaciones en Loja.. que hermoso salir de la ciudad..... Gracias tía por darnos hospedaje...: me siento entusiasmada,2019-08-06 00:15:40+00:00,0,0,,El Chaco,0.7489737544866506
7,1158496166801223680,CarlosLbanderas,Y cómo es tu hospedaje cuando cae la noche. Tienes planificado todo?,2019-08-05 21:53:04+00:00,0,0,,El Chaco,0.8130027875372685
8,1156733029890609157,CatShantal,Estuvimos con Preciosa en Pluking disfrutando de su hospedaje en Shantal The Cat Clinica Veterinaria #hospedaje #ShihTzu #Veterinaria #ShantalTheCatVet #quito #canino #gatospic.twitter.com/d8NHy02Uks,2019-08-01 01:07:00+00:00,0,0,#hospedaje #ShihTzu #Veterinaria #ShantalTheCatVet #quito #canino #gatospic,El Chaco,0.43069819889268635
9,1146944732477710336,jcrpFOTOGRAMA,Presentamos el hospedaje oficial de La Travesía 2019 la mejor carretera del año. Descuentos para los participantes y sus acompañantes. ¡Aprovecha esta gran oportunidad! Más Información: http://www.sisakunalodge.com Email: sisakuna.lodge@gmail.com Tel: (593) 22170343 Mindo-Ecuadorpic.twitter.com/FYNfbcxYlw,2019-07-05 00:51:48+00:00,1,0,,El Chaco,0.5283401917425808
10,1144775736953380864,nass_sol,Este fin de semana comparte un delicioso desayuno junto a tu familia en el Mesón Quiteño Restaurante de nuestro #Hotel Nass Sol de #Quito Te esperamos en la Alemania y Vancouver #servicios #lamejorcomida #hospedaje #descanso #familia #findesemana #Ecuadorpic.twitter.com/Re2tYBZ75Q,2019-06-29 01:12:59+00:00,0,0,#Hotel #Quito #servicios #lamejorcomida #hospedaje #descanso #familia #findesemana #Ecuadorpic,El Chaco,0.6400190015930441
11,1141136809641930752,nass_sol,Saborea las delicias y #disfruta del buen gusto con la excelencia en #servicios que el Mesón Quiteño Restaurante tiene para ti en nuestro #hotel @nass_sol de #Quito #lamejorcomida #hospedaje #corporativos #negocios #Familia #Ecuadorpic.twitter.com/mGAXHl4xR5,2019-06-19 00:13:11+00:00,0,0,#disfruta #servicios #hotel #Quito #lamejorcomida #hospedaje #corporativos #negocios #Familia #Ecuadorpic,El Chaco,0.8973035700464501
